session_key,run_id,broad_no,user_id,category_id,cluster_aware_review_group,score_cluster_aware_consensus,cluster_number,silver_suspicious,gmm_cluster,gmm_max_prob,hdbscan_cluster,score_rule_directional,score_gmm_cluster_aware_rule,score_hdbscan_cluster_aware_rule,viewer_med,viewer_max,chat_mean,unique_mean,zero_rate,zrun_max,gap_med,gap_max,n,start,end
154_19067500,154,19067500,76e076e19ac2cac9a5c1e856b8fc7681,그림/아트,low_priority,0.6954964176049131,1,1,5,0.9979121772668526,-1,0.9518935516888434,0.3263157894736842,0.8878527607361963,234.5,250.0,2.066666666666667,1.6666666666666667,0.3916666666666666,8,4.744922676478071,5.525452939131784,120,2026-05-24 17:00:00,2026-05-24 19:00:00
154_19062306,154,19062306,bee4b42475b5937226b8b7ccbe2eb2dc,LEGO Batman: 레거시 오브 더 다크나이트,low_priority,0.6953428863868987,0,0,4,0.9417425722698187,-1,0.8188843398157625,0.522972972972973,0.6195092024539878,595.0,688.0,6.975206611570248,5.305785123966942,0.0578512396694214,2,4.33729074083249,6.461468176353717,121,2026-05-24 17:00:00,2026-05-24 19:00:00
107_18836680,107,18836680,82e80a65edeb2bbefae9125ee7281a2a,트릭컬 리바이브,low_priority,0.6952064141931081,1,1,5,0.9930894337258023,-1,0.9397645854657114,0.34,0.8731288343558283,144.0,274.0,1.7647058823529411,1.100840336134454,0.3781512605042016,8,4.262679877041316,5.616771097666572,119,2026-05-11 20:00:00,2026-05-11 22:01:00
150_19046938,150,19046938,5fa7a876b66aca4903d1697582df124d,라스베이거스 시뮬레이터,low_priority,0.6951893551688842,1,1,5,0.9925487878851206,-1,0.9581371545547593,0.32,0.8996319018404908,696.0,1004.0,2.024793388429752,1.6611570247933884,0.3305785123966942,5,5.66988092298052,6.912742820493176,121,2026-05-23 17:00:00,2026-05-23 19:00:00
121_18901420,121,18901420,23a96c7728efd75092e69befd8d3630d,명조:워더링 웨이브,low_priority,0.6941828727396793,0,0,0,0.9969781828837782,0,0.652661207778915,0.6182291666666667,0.604494382022472,154.5,187.0,7.902777777777778,5.486111111111111,0.0277777777777777,1,2.893721281667344,5.081404364984463,72,2026-05-15 15:00:00,2026-05-15 16:12:00
133_18973909,133,18973909,6ccaebc2569f62344c6fc257f8f2b9ad,talk,low_priority,0.6940464005458887,0,0,3,0.9995923404484647,1,0.4759467758444217,0.6665127020785219,0.6579821200510855,1163.0,1693.0,24.43801652892562,14.173553719008265,0.0,0,4.27295553961952,6.274762021241939,121,2026-05-19 15:00:00,2026-05-19 17:00:00
114_18867497,114,18867497,8a59b34b46271960c1bf172bb0fac758,UNKNOWN_CATEGORY,low_priority,0.6940293415216648,0,0,3,0.9998941218469636,1,0.4582395087001023,0.669284064665127,0.6664112388250321,338.0,381.0,13.4375,8.125,0.0,0,3.1966759169341312,4.251348311031765,16,2026-05-13 17:00:00,2026-05-13 17:15:00
121_18903858,121,18903858,554e99695decc451d57788b1fd5d5c07,왕좌의 게임: 킹스로드,low_priority,0.6936369839645172,0,0,6,0.9989892659469222,-1,0.8480552712384851,0.46516393442622944,0.6732515337423314,376.0,481.0,6.768595041322314,4.677685950413223,0.0991735537190082,3,4.29592393562047,6.1224928095143865,121,2026-05-15 15:00:00,2026-05-15 17:01:00
149_19046555,149,19046555,9d4f299325b38f9183bdb90b8849d912,talk,low_priority,0.6934152166496076,0,0,3,0.9998477748706468,1,0.4548618219037871,0.6699769053117783,0.6666666666666667,476.0,584.0,17.776859504132233,10.578512396694215,0.0,0,3.528459161273083,5.269574897682382,121,2026-05-23 15:00:00,2026-05-23 17:00:00
137_18990776,137,18990776,0fb4e3255f30079c3d677bf4ac00e0a8,검은사막,low_priority,0.693108154213579,0,0,0,0.9963541484548365,0,0.6519959058341863,0.6143229166666667,0.6081460674157304,101.0,125.0,6.591666666666667,3.591666666666667,0.0166666666666666,1,2.605328213994806,4.727387818712341,120,2026-05-20 15:00:00,2026-05-20 17:01:00
112_18859650,112,18859650,ac761775a1027f0965e01d98a60ba31f,talk,low_priority,0.6929546229955647,0,0,3,0.9997551904039336,1,0.4593654042988741,0.6683602771362587,0.6656449553001277,377.0,412.0,16.451612903225808,6.838709677419355,0.0,0,3.221372705066788,4.054679305829669,31,2026-05-12 23:00:00,2026-05-12 23:30:00
115_18871045,115,18871045,ca1850b2eceb7f86146695fd9bb9cefc,종합 게임,low_priority,0.6928863868986693,0,0,3,0.9995411066981895,1,0.4765609007164791,0.6651270207852195,0.6564495530012772,1704.0,1784.0,23.3801652892562,15.256198347107436,0.0,0,4.348516855775004,6.063785208687608,121,2026-05-13 20:00:00,2026-05-13 22:00:00
169_19134265,169,19134265,dcd75ef0f2c664e3270de18696ad43bf,팀파이트 매니저 2,low_priority,0.6923234390992835,0,0,3,0.9997868953078461,1,0.47154554759467765,0.6662817551963048,0.6587484035759898,1333.0,1447.0,23.03921568627451,14.568627450980392,0.0,0,4.158880592122598,6.0905554497522125,102,2026-05-28 15:00:00,2026-05-28 16:41:00
115_18871152,115,18871152,1542ba72a3d56f4d774c67925734a4a5,하츠 오브 아이언 4,low_priority,0.6920675537359262,0,0,3,0.9999068987504178,1,0.45465711361310135,0.6688221709006927,0.6659003831417625,375.5,431.0,15.19672131147541,8.860655737704919,0.0,0,3.288042414321873,5.2574953720277815,122,2026-05-13 20:00:00,2026-05-13 22:01:00
105_18831736,105,18831736,1b72f1d611d7567b000ebb868cdd112b,로스트아크,low_priority,0.691282838621631,0,0,6,0.9988871347230358,-1,0.7913510747185262,0.5057377049180328,0.6501840490797546,93.0,104.0,3.6,2.4266666666666667,0.1466666666666666,2,3.188416617383492,4.653960350157523,75,2026-05-11 15:00:00,2026-05-11 16:15:00
111_18853940,111,18853940,f20881fce506174330ecb58342c4c70d,리그 오브 레전드,low_priority,0.6909075400887069,0,0,0,0.9996316978176794,-1,0.7277891504605937,0.6018229166666667,0.5738650306748466,1441.5,2805.0,13.450819672131148,8.89344262295082,0.0245901639344262,1,5.045548037960651,7.329749689041512,122,2026-05-12 20:00:00,2026-05-12 22:01:00
114_18866509,114,18866509,0caf7d9d72b6d9341d09e7a454763849,talk,low_priority,0.6908904810644833,0,0,3,0.9999479566036692,1,0.4718526100307063,0.6607390300230946,0.6595146871008939,159.0,215.0,8.661157024793388,5.504132231404959,0.0,0,2.8224605522799537,4.579852378003801,121,2026-05-13 17:00:00,2026-05-13 19:00:00
